Estimator,MSE,n_reco
doubly robust estimator,0.1055416772546478,4
cmebis,0.03667377560776454,4
dr_bis,0.029702413895956216,4
ips_estimator,0.037604785137596755,4
Direct,0.16608907193944453,4
doubly robust estimator,0.13396702451493514,4
cmebis,0.0015135309331350433,4
dr_bis,0.0015136506200038983,4
ips_estimator,0.023004543237839514,4
Direct,0.15714721747851204,4
doubly robust estimator,0.1307531031715393,4
cmebis,0.01836808919741442,4
dr_bis,0.01463331988903101,4
ips_estimator,0.02376023872759487,4
Direct,0.12948444633547362,4
doubly robust estimator,0.13913102383692852,4
cmebis,0.02865493707107299,4
dr_bis,0.025392161186196173,4
ips_estimator,0.03329343325538065,4
Direct,0.1586172679375573,4
doubly robust estimator,0.10619643436875223,4
cmebis,0.000496233277040067,4
dr_bis,0.0004961476498201268,4
